Datetime, Temperature;
9/7/2016 00:00;24,057
9/7/2016 00:15;23,671
9/7/2016 00:30;23,538
9/7/2016 00:45;23,492
9/7/2016 01:00;23,464
9/7/2016 01:15;23,515
9/7/2016 01:30;23,376
9/7/2016 01:45;23,580
9/7/2016 02:00;24,001
9/7/2016 02:15;24,558
9/7/2016 02:30;24,699
9/7/2016 02:45;24,488
9/7/2016 03:00;24,190
9/7/2016 03:15;23,914
9/7/2016 03:30;23,851
9/7/2016 03:45;23,807
9/7/2016 04:00;23,652
9/7/2016 04:15;23,361
9/7/2016 04:30;23,174
9/7/2016 04:45;23,187
9/7/2016 05:00;23,187
9/7/2016 05:15;23,001
9/7/2016 05:30;22,788
9/7/2016 05:45;22,615
9/7/2016 06:00;22,677
9/7/2016 06:15;22,541
9/7/2016 06:30;22,313
9/7/2016 06:45;22,175
9/7/2016 07:00;22,456
9/7/2016 07:15;23,214
9/7/2016 07:30;24,447
9/7/2016 07:45;24,825
9/7/2016 08:00;24,968
9/7/2016 08:15;25,328
9/7/2016 08:30;26,562
9/7/2016 08:45;27,200
9/7/2016 09:00;27,990
9/7/2016 09:15;28,441
9/7/2016 09:30;29,042
9/7/2016 09:45;29,524
9/7/2016 10:00;29,829
9/7/2016 10:15;30,051
9/7/2016 10:30;30,414
9/7/2016 10:45;30,705
9/7/2016 11:00;31,308
9/7/2016 11:15;31,610
9/7/2016 11:30;31,973
9/7/2016 11:45;32,307
9/7/2016 12:00;32,175
9/7/2016 12:15;32,314
9/7/2016 12:30;32,401
9/7/2016 12:45;32,699
9/7/2016 13:00;32,579
9/7/2016 13:15;32,661
9/7/2016 13:30;32,957
9/7/2016 13:45;33,070
9/7/2016 14:00;33,336
9/7/2016 14:15;33,620
9/7/2016 14:30;33,894
9/7/2016 14:45;33,704
9/7/2016 15:00;34,081
9/7/2016 15:15;33,939
9/7/2016 15:30;34,178
9/7/2016 15:45;35,017
9/7/2016 16:00;35,429
9/7/2016 16:15;34,709
9/7/2016 16:30;34,183
9/7/2016 16:45;33,759
9/7/2016 17:00;33,212
9/7/2016 17:15;32,368
9/7/2016 17:30;32,294
9/7/2016 17:45;31,851
9/7/2016 18:00;32,096
9/7/2016 18:15;31,270
9/7/2016 18:30;30,713
9/7/2016 18:45;30,522
9/7/2016 19:00;29,855
9/7/2016 19:15;29,011
9/7/2016 19:30;28,056
9/7/2016 19:45;27,428
9/7/2016 20:00;27,011
9/7/2016 20:15;26,595
9/7/2016 20:30;26,075
9/7/2016 20:45;25,551
9/7/2016 21:00;25,151
9/7/2016 21:15;24,850
9/7/2016 21:30;24,690
9/7/2016 21:45;24,348
9/7/2016 22:00;24,153
9/7/2016 22:15;24,026
9/7/2016 22:30;24,238
9/7/2016 22:45;24,405
9/7/2016 23:00;24,465
9/7/2016 23:15;24,549
9/7/2016 23:30;24,656
9/7/2016 23:45;24,828
10/7/2016 00:00;24,700
10/7/2016 00:15;23,978
10/7/2016 00:30;23,161
10/7/2016 00:45;23,072
10/7/2016 01:00;23,355
10/7/2016 01:15;23,450
10/7/2016 01:30;23,182
10/7/2016 01:45;22,514
10/7/2016 02:00;21,889
10/7/2016 02:15;21,609
10/7/2016 02:30;21,534
10/7/2016 02:45;21,583
10/7/2016 03:00;21,629
10/7/2016 03:15;21,622
10/7/2016 03:30;21,715
10/7/2016 03:45;21,724
10/7/2016 04:00;21,758
10/7/2016 04:15;21,935
10/7/2016 04:30;22,172
10/7/2016 04:45;22,167
10/7/2016 05:00;22,387
10/7/2016 05:15;22,629
10/7/2016 05:30;22,751
10/7/2016 05:45;23,171
10/7/2016 06:00;23,496
10/7/2016 06:15;23,371
10/7/2016 06:30;23,524
10/7/2016 06:45;23,457
10/7/2016 07:00;23,524
10/7/2016 07:15;24,076
10/7/2016 07:30;24,753
10/7/2016 07:45;24,800
10/7/2016 08:00;24,975
10/7/2016 08:15;25,263
10/7/2016 08:30;25,981
10/7/2016 08:45;26,412
10/7/2016 09:00;27,119
10/7/2016 09:15;27,646
10/7/2016 09:30;28,547
10/7/2016 09:45;29,222
10/7/2016 10:00;29,807
10/7/2016 10:15;30,252
10/7/2016 10:30;30,761
10/7/2016 10:45;31,217
10/7/2016 11:00;31,530
10/7/2016 11:15;31,799
10/7/2016 11:30;32,328
10/7/2016 11:45;32,753
10/7/2016 12:00;32,902
10/7/2016 12:15;33,014
10/7/2016 12:30;32,934
10/7/2016 12:45;33,283
10/7/2016 13:00;33,148
10/7/2016 13:15;33,201
10/7/2016 13:30;33,497
10/7/2016 13:45;33,895
10/7/2016 14:00;33,952
10/7/2016 14:15;34,203
10/7/2016 14:30;34,518
10/7/2016 14:45;34,469
10/7/2016 15:00;34,783
10/7/2016 15:15;34,733
10/7/2016 15:30;34,834
10/7/2016 15:45;35,349
10/7/2016 16:00;36,634
10/7/2016 16:15;36,351
10/7/2016 16:30;35,625
10/7/2016 16:45;35,669
10/7/2016 17:00;35,017
10/7/2016 17:15;34,347
10/7/2016 17:30;33,843
10/7/2016 17:45;34,691
10/7/2016 18:00;34,107
10/7/2016 18:15;33,586
10/7/2016 18:30;33,273
10/7/2016 18:45;32,710
10/7/2016 19:00;32,090
10/7/2016 19:15;31,252
10/7/2016 19:30;30,315
10/7/2016 19:45;29,381
10/7/2016 20:00;28,486
10/7/2016 20:15;27,595
10/7/2016 20:30;26,818
10/7/2016 20:45;26,177
10/7/2016 21:00;25,633
10/7/2016 21:15;25,281
10/7/2016 21:30;25,140
10/7/2016 21:45;25,035
10/7/2016 22:00;24,900
10/7/2016 22:15;24,683
10/7/2016 22:30;24,646
10/7/2016 22:45;24,589
10/7/2016 23:00;24,615
10/7/2016 23:15;24,522
10/7/2016 23:30;24,330
10/7/2016 23:45;24,031
11/7/2016 00:00;23,786
11/7/2016 00:15;23,739
11/7/2016 00:30;23,688
11/7/2016 00:45;23,391
11/7/2016 01:00;23,479
11/7/2016 01:15;23,883
11/7/2016 01:30;24,232
11/7/2016 01:45;24,196
11/7/2016 02:00;23,949
11/7/2016 02:15;23,981
11/7/2016 02:30;24,361
11/7/2016 02:45;24,668
11/7/2016 03:00;24,775
11/7/2016 03:15;24,703
11/7/2016 03:30;24,730
11/7/2016 03:45;24,579
11/7/2016 04:00;24,115
11/7/2016 04:15;23,770
11/7/2016 04:30;23,421
11/7/2016 04:45;23,175
11/7/2016 05:00;23,094
11/7/2016 05:15;22,920
11/7/2016 05:30;22,829
11/7/2016 05:45;22,595
11/7/2016 06:00;22,411
11/7/2016 06:15;22,366
11/7/2016 06:30;22,330
11/7/2016 06:45;22,336
11/7/2016 07:00;22,421
11/7/2016 07:15;23,320
11/7/2016 07:30;24,617
11/7/2016 07:45;25,018
11/7/2016 08:00;25,365
11/7/2016 08:15;25,744
11/7/2016 08:30;26,492
11/7/2016 08:45;26,902
11/7/2016 09:00;27,733
11/7/2016 09:15;28,725
11/7/2016 09:30;29,589
11/7/2016 09:45;30,318
11/7/2016 10:00;30,984
11/7/2016 10:15;31,520
11/7/2016 10:30;31,879
11/7/2016 10:45;32,339
11/7/2016 11:00;32,852
11/7/2016 11:15;32,742
11/7/2016 11:30;32,452
11/7/2016 11:45;31,707
11/7/2016 12:00;31,151
11/7/2016 12:15;31,001
11/7/2016 12:30;31,131
11/7/2016 12:45;31,371
11/7/2016 13:00;31,195
11/7/2016 13:15;31,388
11/7/2016 13:30;31,845
11/7/2016 13:45;32,406
11/7/2016 14:00;33,254
11/7/2016 14:15;34,014
11/7/2016 14:30;34,324
11/7/2016 14:45;33,612
11/7/2016 15:00;33,868
11/7/2016 15:15;33,128
11/7/2016 15:30;33,331
11/7/2016 15:45;33,848
11/7/2016 16:00;34,760
11/7/2016 16:15;35,164
11/7/2016 16:30;34,381
11/7/2016 16:45;34,435
11/7/2016 17:00;33,465
11/7/2016 17:15;33,257
11/7/2016 17:30;33,824
11/7/2016 17:45;35,657
11/7/2016 18:00;34,536
11/7/2016 18:15;33,723
11/7/2016 18:30;33,284
11/7/2016 18:45;32,942
11/7/2016 19:00;31,862
11/7/2016 19:15;31,277
11/7/2016 19:30;30,525
11/7/2016 19:45;29,832
11/7/2016 20:00;29,164
11/7/2016 20:15;28,617
11/7/2016 20:30;28,009
11/7/2016 20:45;27,640
11/7/2016 21:00;27,327
11/7/2016 21:15;26,981
11/7/2016 21:30;26,980
11/7/2016 21:45;26,790
11/7/2016 22:00;26,848
11/7/2016 22:15;26,930
11/7/2016 22:30;26,419
11/7/2016 22:45;25,775
11/7/2016 23:00;25,198
11/7/2016 23:15;24,918
11/7/2016 23:30;24,717
11/7/2016 23:45;24,611
12/7/2016 00:00;24,564
12/7/2016 00:15;24,432
12/7/2016 00:30;24,182
12/7/2016 00:45;24,231
12/7/2016 01:00;24,241
12/7/2016 01:15;24,362
12/7/2016 01:30;24,536
12/7/2016 01:45;24,746
12/7/2016 02:00;24,929
12/7/2016 02:15;24,835
12/7/2016 02:30;24,589
12/7/2016 02:45;24,327
12/7/2016 03:00;24,016
12/7/2016 03:15;23,838
12/7/2016 03:30;23,710
12/7/2016 03:45;23,560
12/7/2016 04:00;23,377
12/7/2016 04:15;23,342
12/7/2016 04:30;23,377
12/7/2016 04:45;23,639
12/7/2016 05:00;23,928
12/7/2016 05:15;24,255
12/7/2016 05:30;24,555
12/7/2016 05:45;24,700
12/7/2016 06:00;24,602
12/7/2016 06:15;24,542
12/7/2016 06:30;24,560
12/7/2016 06:45;24,671
12/7/2016 07:00;24,849
12/7/2016 07:15;25,403
12/7/2016 07:30;25,956
12/7/2016 07:45;25,836
12/7/2016 08:00;25,842
12/7/2016 08:15;26,040
12/7/2016 08:30;26,516
12/7/2016 08:45;26,922
12/7/2016 09:00;27,574
12/7/2016 09:15;28,347
12/7/2016 09:30;28,862
12/7/2016 09:45;29,598
12/7/2016 10:00;30,238
12/7/2016 10:15;30,444
12/7/2016 10:30;30,707
12/7/2016 10:45;30,890
12/7/2016 11:00;31,031
12/7/2016 11:15;30,742
12/7/2016 11:30;30,802
12/7/2016 11:45;30,964
12/7/2016 12:00;30,903
12/7/2016 12:15;30,969
12/7/2016 12:30;31,126
12/7/2016 12:45;31,156
12/7/2016 13:00;31,062
12/7/2016 13:15;31,415
12/7/2016 13:30;31,195
12/7/2016 13:45;31,084
12/7/2016 14:00;31,026
12/7/2016 14:15;31,709
12/7/2016 14:30;31,968
12/7/2016 14:45;31,952
12/7/2016 15:00;31,984
12/7/2016 15:15;32,434
12/7/2016 15:30;32,153
12/7/2016 15:45;33,378
12/7/2016 16:00;34,445
12/7/2016 16:15;34,064
12/7/2016 16:30;32,771
12/7/2016 16:45;33,334
12/7/2016 17:00;32,776
12/7/2016 17:15;32,383
12/7/2016 17:30;32,283
12/7/2016 17:45;34,288
12/7/2016 18:00;33,239
12/7/2016 18:15;32,411
12/7/2016 18:30;32,012
12/7/2016 18:45;31,970
12/7/2016 19:00;31,266
12/7/2016 19:15;30,497
12/7/2016 19:30;29,741
12/7/2016 19:45;29,091
12/7/2016 20:00;28,591
12/7/2016 20:15;28,145
12/7/2016 20:30;27,787
12/7/2016 20:45;27,342
12/7/2016 21:00;26,880
12/7/2016 21:15;26,482
12/7/2016 21:30;26,171
12/7/2016 21:45;25,880
12/7/2016 22:00;25,755
12/7/2016 22:15;25,592
12/7/2016 22:30;25,487
12/7/2016 22:45;25,434
12/7/2016 23:00;25,425
12/7/2016 23:15;25,436
12/7/2016 23:30;25,312
12/7/2016 23:45;25,225
13/7/2016 00:00;25,182
13/7/2016 00:15;25,113
13/7/2016 00:30;25,028
13/7/2016 00:45;25,023
13/7/2016 01:00;25,009
13/7/2016 01:15;25,038
13/7/2016 01:30;24,982
13/7/2016 01:45;24,976
13/7/2016 02:00;24,954
13/7/2016 02:15;24,941
13/7/2016 02:30;24,885
13/7/2016 02:45;24,790
13/7/2016 03:00;24,763
13/7/2016 03:15;24,775
13/7/2016 03:30;24,598
13/7/2016 03:45;24,513
13/7/2016 04:00;24,368
13/7/2016 04:15;24,318
13/7/2016 04:30;24,307
13/7/2016 04:45;24,276
13/7/2016 05:00;24,212
13/7/2016 05:15;24,276
13/7/2016 05:30;24,346
13/7/2016 05:45;24,369
13/7/2016 06:00;24,407
13/7/2016 06:15;24,558
13/7/2016 06:30;24,539
13/7/2016 06:45;24,355
13/7/2016 07:00;24,394
13/7/2016 07:15;25,104
13/7/2016 07:30;26,027
13/7/2016 07:45;25,875
13/7/2016 08:00;26,058
13/7/2016 08:15;26,372
13/7/2016 08:30;27,287
13/7/2016 08:45;28,042
13/7/2016 09:00;28,585
13/7/2016 09:15;29,296
13/7/2016 09:30;29,847
13/7/2016 09:45;30,289
13/7/2016 10:00;30,619
13/7/2016 10:15;31,238
13/7/2016 10:30;31,431
13/7/2016 10:45;31,360
13/7/2016 11:00;31,075
13/7/2016 11:15;31,034
13/7/2016 11:30;31,467
13/7/2016 11:45;31,572
13/7/2016 12:00;31,578
13/7/2016 12:15;31,635
